date,location,new_cases,new_deaths,total_cases,total_deaths,mortality,OlderPopulation,healthspend,percapitagdp,gini
30/7/2020,United States,74985,1457,4426982,150713,3.4,15.4193659,10246.13867,62886.83648,41.4
30/7/2020,Brazil,69074,1595,2552265,90134,3.5,8.605491994,1472.230957,14951.80351,53.3
30/7/2020,India,52123,775,1583792,34968,2.2,5.983113317,253.3224182,6697.157798,0
30/7/2020,Russia,5475,169,828990,13673,1.6,14.2633,1404.2166,28556.2545,37.2
30/7/2020,South Africa,11362,240,471123,7497,1.6,5.219178626,1097.819214,12938.42625,0
30/7/2020,Mexico,5752,485,408449,45361,11.1,7.040770485,1035.585083,20396.47771,45.85
30/7/2020,Peru,5678,204,400683,18816,4.7,7.810802455,681.2345581,13093.7487,43.3
30/7/2020,Chile,1775,38,351575,9278,2.6,11.19189425,2228.556885,24763.00219,44.4
30/7/2020,United Kingdom,763,83,301455,45961,15.2,18.29113504,4338.372559,46867.91621,34.8
30/7/2020,Iran,2636,196,298909,16343,5.5,6.0387,1748.396,0,40.4
30/7/2020,Pakistan,1114,32,277402,5924,2.1,4.313836053,160.5584564,4854.943931,0
30/7/2020,Colombia,8670,380,276055,9454,3.4,8.199088531,1039.15979,14834.44929,50.4
30/7/2020,Saudi Arabia,1759,27,272590,2816,1,3.207535297,2826.334473,48756.16068,0
30/7/2020,Italy,288,6,246776,35129,14.2,22.49968895,3619.697998,42798.09872,35.55
30/7/2020,Bangladesh,3009,35,232194,3035,1.3,5.149475008,94.30201721,4549.613928,32.4
30/7/2020,Turkey,942,14,228924,5659,2.5,8.255711388,1180.641846,28139.14373,41.9
30/7/2020,Germany,0,0,206926,9128,4.4,21.37148805,5922.638184,54456.92926,31.9
30/7/2020,France,1392,15,185196,30238,16.3,19.66899677,5011.200684,46447.43992,31.75
30/7/2020,Argentina,5939,118,173342,3200,1.8,10.98970711,1916.50415,23299.98277,41.4
30/7/2020,Iraq,2968,68,118300,4603,3.9,3.231339911,210.3,10919.86269,0
30/7/2020,Canada,476,5,115456,8917,7.7,17.23201,4928.628,49994.08793,0
30/7/2020,Qatar,273,2,110153,169,0.2,1.232122986,3354.37793,96804.72969,0
30/7/2020,Indonesia,2381,74,104432,4975,4.8,5.68194834,367.9414063,11646.47029,39.4
30/7/2020,Egypt,409,37,93356,4728,5.1,5.22,105.7684555,11643.21467,31.5
30/7/2020,Kazakhstan,1472,0,87664,793,0.9,7.136823252,820.3520508,26172.35199,27.35
30/7/2020,China,223,8,87213,4665,5.3,10.92,841.1149,15376.20621,38.5
30/7/2020,Philippines,1813,15,85486,1962,2.3,4.937096691,371.7423401,8321.216261,0
30/7/2020,Ecuador,914,39,83193,5623,6.8,6.951140342,958.857666,11853.65794,45
30/7/2020,Sweden,288,28,79782,5730,7.2,19.99141637,5699.606934,53807.86716,29.2
30/7/2020,Oman,665,10,78569,412,0.5,2.344721136,1590.843262,29289.7002,0
30/7/2020,Bolivia,1207,88,73534,2808,3.8,7.045878822,491.677063,8866.374537,44
30/7/2020,Israel,2001,5,68556,491,0.7,11.72544666,3014.647217,40261.33803,39
30/7/2020,Ukraine,1022,21,67597,1650,2.4,16.15522616,584.5913696,9249.462135,26
30/7/2020,Belarus,152,5,67518,548,0.8,14.5751252,1129.113281,19345.27051,25.3
30/7/2020,Belgium,0,0,67242,9836,14.6,18.58407909,5119.074707,52253.98163,27.5
30/7/2020,Dominican Republic,1492,22,66182,1123,1.7,6.879985207,985.729248,18143.21539,43.7
30/7/2020,Kuwait,754,2,65903,444,0.7,2.382461572,3796.714844,51708.27476,0
30/7/2020,Panama,1046,25,63269,1374,2.2,7.90991653,1794.809692,31834.01434,49.9
30/7/2020,United Arab Emirates,375,0,59921,347,0.6,1.034677976,2468.549316,67549.62468,0
30/7/2020,Netherlands,247,2,53621,6147,11.5,18.79213202,5513.100098,57565.19756,28.35
30/7/2020,Singapore,334,0,51531,27,0.1,10.57989948,4269.958008,98827.3526,0
30/7/2020,Portugal,203,3,50613,1725,3.4,21.55770209,2917.355713,34272.03621,34.5
30/7/2020,Romania,1182,30,48235,2269,4.7,17.88172659,1367.79187,29061.26446,35.2
30/7/2020,Guatemala,2546,74,47605,1835,3.9,4.696319296,474.8486328,8655.419918,0
30/7/2020,Poland,512,12,44416,1694,3.8,16.93129535,1958.167603,31755.77189,30.45
30/7/2020,Nigeria,404,5,42208,873,2.1,2.749135966,221.0950012,5281.401421,0
30/7/2020,Honduras,484,45,40944,1259,3.1,4.56082731,394.759613,5810.426599,51.1
30/7/2020,Bahrain,390,3,40311,144,0.4,2.372302346,2265.28125,47296.98695,0
30/7/2020,Armenia,259,5,38196,728,1.9,11.09664489,1001.069031,13024.68829,33.6
30/7/2020,Afghanistan,0,0,36471,1271,3.5,2.55425147,0,2225.761336,0
30/7/2020,Kyrgyzstan,631,17,35223,1364,3.9,0,0,26172.35199,27.35
30/7/2020,Ghana,736,7,35142,175,0.5,3.049805358,146.8668976,5320.972969,43.5
30/7/2020,Switzerland,192,0,34714,1702,4.9,18.43086713,8216.958008,69366.43792,32.85
30/7/2020,Japan,1126,3,32459,1003,3.1,27.10947943,4563.457031,41473.31195,0
30/7/2020,Azerbaijan,363,8,31221,438,1.4,5.989688502,1163.861938,14543.19493,0
30/7/2020,Algeria,614,12,29229,1186,4.1,6.177204873,974.8076782,11759.19659,0
30/7/2020,Ireland,13,0,25942,1764,6.8,13.50665509,5544.678223,84459.7731,32.8
30/7/2020,Serbia,372,7,24892,558,2.2,17.89475163,1382.162598,17616.95597,37.5
30/7/2020,Moldova,426,6,23947,759,3.2,10.90919884,476.7314148,12564.894,25.9
30/7/2020,Uzbekistan,703,5,22872,132,0.6,4.264759603,447.8721924,6898.903382,0
30/7/2020,Morocco,826,7,22213,334,1.5,6.753348076,438.0912781,8611.709833,0
30/7/2020,Austria,164,3,20846,716,3.4,18.95657332,5617.396484,56871.2114,30.25
30/7/2020,Nepal,210,0,19273,49,0.3,5.664687404,150.0734253,3330.621326,0
30/7/2020,Kenya,544,12,19125,311,1.6,2.256105606,158.1556549,4294.936789,0
30/7/2020,Cameroon,547,2,17255,387,2.2,2.731397078,173.8623352,3691.329553,0
30/7/2020,Costa Rica,456,8,16800,133,0.8,9.250510207,1262.164307,19762.45013,48.3
30/7/2020,Venezuela,0,0,16571,151,0.9,0,0,0,0
30/7/2020,Czech Republic,294,1,16093,374,2.3,0,0,40428.67299,25.15
30/7/2020,Puerto Rico,221,2,16061,211,1.3,0,0,35108.34552,0
30/7/2020,El Salvador,395,13,15841,430,2.7,8.104708642,582.7357788,8816.643046,38.6
30/7/2020,Cote d'Ivoire,100,1,15813,99,0.6,2.840555917,175.6611176,3832.130446,0
30/7/2020,Ethiopia,610,14,15810,253,1.6,3.487830499,66.66216278,2154.360186,0
30/7/2020,Australia,278,9,15582,176,1.1,0,0,51036.40589,0
30/7/2020,Palestine,520,1,14458,82,0.6,0,0,0,0
30/7/2020,South Korea,18,0,14269,300,2.1,0,0,0,0
30/7/2020,Denmark,57,1,13634,614,4.5,19.6594929,5509.995605,57218.40645,28.45
30/7/2020,Sudan,0,0,11496,725,6.3,3.535206834,313.6807251,4767.689827,0
30/7/2020,Bulgaria,284,13,11155,368,3.3,20.75760119,1689.687134,22304.94485,40.5
30/7/2020,Bosnia and Herzegovina,0,0,10766,297,2.8,15.74975571,1172.36731,14962.0374,0
30/7/2020,Macedonia,188,5,10504,476,4.5,0,0,0,0
30/7/2020,Madagascar,213,6,10317,99,1,2.930183799,85.48757935,1652.399139,0
