Location,Partialvaccine_count,Partialvaccine_percent,FullyVaccinated_count,Fullyvaccinated_percent,Totalcases,TotalDeaths,Fatality_Rate
Alabama,2745330,56,2245543,45.80,843780,16086,1.9
Alaska,452900,61.9,394157,53.90,148825,862,0.6
Arizona,4629057,63.6,3956455,54.40,1245127,21942,1.8
Arkansas,1808661,59.9,1479765,49.00,524440,8620,1.6
California,30798730,77.9,24797254,62.80,5052860,73875,1.5
Colorado,4068536,70.6,3618520,62.80,811813,8951,1.1
Connecticut,2960087,83,2556047,71.70,414978,8853,2.1
Delaware,694706,71.3,593488,60.90,150625,2159,1.4
District of Columbia,563210,79.8,451501,64.00,66347,1196,1.8
Florida,15281910,71.2,13084583,60.90,3721503,61147,1.6
Georgia,6200277,58.4,5229759,49.30,1656992,30236,1.8
Hawaii,1152427,81.4,858803,60.70,86939,1002,1.2
Idaho,900558,50.4,803850,45.00,303928,3862,1.3
Illinois,8492247,67,7748030,61.10,1779843,28727,1.6
Indiana,3727927,55.4,3398395,50.50,1077372,17316,1.6
Iowa,1951895,61.9,1779084,56.40,513637,7268,1.4
Kansas,1905812,65.4,1582303,54.30,459085,6645,1.4
Kentucky,2667825,59.7,2316297,51.80,773602,10707,1.4
Louisiana,2563246,55.1,2259451,48.60,768714,14768,1.9
Maine,1084712,80.7,966367,71.90,116948,1300,1.1
Maryland,4512229,74.6,4055185,67.10,579591,11145,1.9
Massachusetts,5835767,84.7,4878711,70.80,897874,19284,2.1
Michigan,6050609,60.6,5428268,54.40,1427191,24928,1.7
Minnesota,3850700,68.3,3504907,62.10,887368,9353,1.1
Mississippi,1590612,53.4,1391736,46.80,512200,10253,2
Missouri,3630596,59.2,3112660,50.70,900102,13006,1.4
Montana,631444,59.1,551403,51.60,189143,2591,1.4
Nebraska,1229013,63.5,1105399,57.10,304432,3108,1
Nevada,2025490,65.8,1668543,54.20,454351,7952,1.8
New Hampshire,1149971,84.6,870411,64.00,153934,1672,1.1
New Jersey,6947067,78.2,5990748,67.40,1236151,28295,2.3
New Mexico,1588251,75.7,1326452,63.30,305579,5277,1.7
New York,15024941,77.2,13248411,68.10,2679503,57215,2.1
North Carolina,7208485,68.7,5643509,53.80,1521760,18642,1.2
North Dakota,435025,57.1,368994,48.40,159373,1899,1.2
Ohio,6762630,57.9,6170085,52.80,1653380,26190,1.6
Oklahoma,2456478,62.1,2027437,51.20,661675,11814,1.8
Oregon,2986052,70.8,2688472,63.70,385790,5017,1.3
Pennsylvania,10785759,84.3,7945527,62.10,1696959,33003,1.9
Rhode Island,870204,82.1,764158,72.10,187531,2913,1.6
South Carolina,3073560,59.7,2631574,51.10,914384,14135,1.5
South Dakota,577291,65.3,478337,54.10,163721,2318,1.4
Tennessee,3837918,56.2,3363087,49.20,1306796,16853,1.3
Texas,18402839,63.5,15768746,54.40,4314093,73510,1.7
Utah,2038579,63.6,1769782,55.20,7466,85,1.1
Vermont,524606,84.1,452844,72.60,586758,3442,0.6
Virginia,6373815,74.7,5510330,64.60,47805,406,0.8
Washington,5465748,71.8,4920946,64.60,959156,14573,1.5
West Virginia,964105,53.8,743883,41.50,766008,9139,1.2
Wisconsin,3797976,65.2,3449931,59.30,290026,4770,1.6
Wyoming,306601,53,261758,45.20,953422,9831,1
American Samoa,35398,74.7,31274,66.00,109802,1347,1.2
Federated States of Micronesia,47480,46.4,41747,40.80,4,0,0
Guam,134198,79.6,122961,73.00,19117,263,1.4
Marshall Islands,24764,31.9,21722,27.90,395,3,0.8
Northern Mariana Islands,38485,74.2,35239,68.00,187919,3264,1.7
Puerto Rico,2706849,84.8,2377444,74.40,,,0
Republic of Palau,18058,83.9,15786,73.30,,,0
Virgin Islands,59531,56,51794,48.70,,,0
